Number of nodes,Number of edges,Bellman-Ford time,Dijkstra time,Packet path,Packet arrival time (seconds),Distance Vector Latency,Link-State latency
10,20,0.007977962,0,"[0, 9]",1,0.001518,0.0008734
20,40,0,0,"[0, 8, 19]",2,0.0042018,0.0013361
30,60,0,0,"[0, 12, 21, 29]",3,0.0089146,0.0017154
40,80,0.007995367,0,"[0, 13, 15, 39]",3,0.0185648,0.0021899
50,100,0,0,"[0, 15, 46, 49]",3,0.0319821,0.0044167
60,120,0.007991791,0,"[0, 14, 38, 59]",3,0.0483704,0.0046022
70,140,0,0,"[0, 20, 69]",2,0.0653858,0.0063756
80,160,0,0.008001566,"[0, 14, 15, 61, 79]",4,0.0746959,0.0075028
80,160,0,0,"[0, 36, 30, 79]",3,0.0791719,0.0099495
90,180,0,0,"[0, 36, 89]",2,0.1050366,0.0110646
100,200,0,0.008002281,"[0, 94, 89, 29, 72, 99]",5,0.1163952,0.0115543
110,220,0.008007049560546875,0.0,"[0, 60, 43, 109]",3.0,0.12790949997724965,0.013634699978865683
150,300,0.0,0.0,"[0, 46, 149]",2.0,0.29035189998103306,0.027100400009658188
200,400,0.008005142211914062,0.007984638214111328,"[0, 107, 192, 108, 92, 199]",5.0,0.4514439000049606,0.03051379998214543
300,600,0.007994413375854492,0.0,"[0, 46, 124, 299]",3.0,1.050618100038264,0.07292270002653822
400,800,0.008008956909179688,0.008009910583496094,"[0, 24, 367, 167, 114, 399]",5.0,1.999280899995938,0.12278079998213798
400,800,0.00800943374633789,0.007995367050170898,"[0, 70, 367, 399]",3.0,2.02797479997389,0.14259489998221397
500,1000,0.01600933074951172,0.007997512817382812,"[0, 390, 4, 343, 480, 499]",5.0,4.999251400004141,0.22416069998871535
600,1200,0.019692659378051758,0.010117769241333008,"[0, 502, 487, 349, 539, 599]",5.0,5.318095800001174,0.25011739996261895
700,1400,0.02807784080505371,0.0,"[0, 244, 232, 424, 699]",4.0,7.196516599971801,0.3395850999513641
800,1600,0.020044326782226562,0.01018834114074707,"[0, 119, 620, 599, 464, 729, 799]",7.0,10.076511599996593,0.43244820000836626
900,1800,0.03499722480773926,0.01008152961730957,"[0, 613, 270, 374, 899]",4.0,12.51812839997001,0.4934796000015922
1000,2000,0.032010555267333984,0.024022340774536133,"[0, 893, 325, 482, 847, 988, 642, 999]",7.0,14.069163599982858,0.6666820999816991
